CARVER;Criticality, Accessibility, Recoverability, Vulnerability, Effect, & Recognizability;sentinel
CATEX;Categorical Exception (32 CFR 989);sentinel
CBA;Capabilities-Based Assessment;sentinel
CBM+;Condition Based Maintenance Plus;sentinel
CBRN;Chemical, Biological, Radiological & Nuclear;sentinel
CBT;Computer Based Training;sentinel
CCDRs;Combatant Commanders;sentinel
CC;Compatibility Certification (DOE);sentinel
CC;Critical Component;sentinel
CCA;Critical Consequence Areas;sentinel
CCAR;Comprehensive Capital Analysis and Review;sentinel
CCARs;Comprehensive Cost and Requirement Systems;sentinel
CCB;Configuration Control Board;sentinel
CCE;Component Cost Estimate;sentinel
CCMDs;Combatant Commands;sentinel
CCB;Configuration Control Board;sentinel
CCDR;Compoenent Conceptual Design Review;sentinel
CCDR;Contractor Cost Data Reporting;sentinel
CCD-V;Capability Development Document Validation;sentinel
CCE;Component Cost Estimate;sentinel
CCOS;Common Certification Operating System;sentinel
CCMDS;Combatant Commands;sentinel
CCP;Component Cost Position;sentinel
CCP;Contract Change Proposal;sentinel
CCSD;Cryptologic and Cyber Systems Division;sentinel
CCWG;Codes/Crypto Working Group;sentinel
CCTIM;Cost Capability Technical Interchange Meeting;sentinel
CDAAS;Content Delivery as a Service;sentinel
CDAC;Concept Design and Architecture;sentinel
CDAG;Concept Design and Architecture Guidance;sentinel
CDAP;Concept Design & Architecture Propulsion;sentinel
CDC;Confined Detonation Cord;sentinel
CDD;Capability Development Document;sentinel
CDEIS;Coordination Draft Environmental Impact Statement;sentinel
CDI;Covered Defense Information (CUI and CTI);sentinel
CDR;Critical Design Review;sentinel
CDRL;Contract Data Requirement List;sentinel
CDS;Cross-Domain Solution (data diode);sentinel
CDT;Chief Development Tester;sentinel
CE;Chief Engineer;sentinel
CEP;Circular Error Probable;sentinel
CET;Customer Engagement Team;sentinel
CEQ;Council of Environmental Quality;sentinel
CFD;Computational Fluid Dynamics;sentinel
CFO;Chief Financial Officer;sentinel
CFR;Code of Federal Regulations;sentinel
CFSR;Contract Funds Status Report;sentinel
CG;Center of Gravity;sentinel
CGA;Capability Gap Assessment;sentinel
CG-W-5;Classification Guide W-5;sentinel
ChERB;Chief Engineer Review Board;sentinel
C&I;Configuration and Identification;sentinel
CI;Commercial Item;sentinel
CI;Communications Integrator;sentinel
CI;Configuration Item;sentinel
CI;Counter Intelligence;sentinel
CI;Critical Information;sentinel
CIB;Contractor Interface Board;sentinel
CIIL;Critical Information and Indicator List;sentinel
CIO;Chief Information Officer;sentinel
CIP;Control Information Plan;sentinel
CIPD;Cost Integrated Project Team;sentinel
CISQ;Consortium for Information & Software Quality;sentinel
CJCS;Chairman of the Joint Chiefs of Staff;sentinel
CJCSI;CJCS Instruction;sentinel
CLA;Core Logistics Analysis;sentinel
CLAM;C&L Architecture Model;sentinel
CLD;Core Logistics Determination;sentinel
CLIN;Contract Line Item;sentinel
CLS;Contractor Logistics Analysis;sentinel
CLTR;Computer Lab Troubleshooting Request (classified labs);sentinel
CM;Configuration Management;sentinel
CM;Counter Measure;sentinel
CM/DM;Configuration Management Data Management;sentinel
CMDS;C&L Cyber Monitoring & Defense System;sentinel
CME;Contract Manpower Equivalent;sentinel
CMF;Consolidated Maintenance Facility;sentinel
CMI;Classified Message Incident;sentinel
CML;Capability-Mission Lattice;sentinel
CMM;Capability Maturity Model;sentinel
CMMI;Capability Maturity Model Integration;sentinel
CMO;Configuration Management Office;sentinel
CMP;Configuration Management Plan;sentinel
CMP;Contract Management Plan;sentinel
CMS;Continuous Monitoring Strategy;sentinel
CMT;Contract Management Team;sentinel
CMWG;Configuration Management Working Group;sentinel
CAN;Computer Network Attack;sentinel
CNAP;Cloud Native Access Point;sentinel
CNE;Computer Network Exploitation;sentinel
CNEST;Combined Nuclear Effects Surrogate Testing;sentinel
CNCF;Cloud Native Computing Foundation;sentinel
CNSS;Committee on National Systems Security;sentinel
CNSSI;CNSS Instruction;sentinel
CNWDI;Critical Nuclear Weapon Design Information;sentinel
CO;Change Order;sentinel
CO;Commanding Officer;sentinel
CO;Contracting Officer;sentinel
COA;Course of Action;sentinel
CoC;Chain of Command;sentinel
COCOM;Combatant Command;sentinel
COCOMO;Constructive Cost Model;sentinel
CoD;Correction of Deficiencies;sentinel
COE;Center of Excellence;sentinel
COE;Common Operating Environment;sentinel
COI;Critical Operational Issue;sentinel
COMPUSEC;Computer Security;sentinel
COMSEC;Communications Security;sentinel
CONOPS;Concepts of Operations;sentinel
CONUS;Continental United States;sentinel
COP;Common Operating Picture;sentinel
CoP;Community of Practice;sentinel
COP;Console Operations Program;sentinel
COOP;Continuity of Operations;sentinel
CORE;Common Operating Environment;sentinel
COSIS;Care of Supplies in Storage;sentinel
COTS;Commercial Off-the-Shelf;sentinel
CPA;Classified Processing Area;sentinel
CPAF;Cost Plus Award Fee;sentinel
CPAR;Contractor Performance Assessment Rating;sentinel
CPARS;Contractor Performance Assessment Rating System;sentinel
CPC;Corrosion Prevention and Control;sentinel
CPC;Classified Processing Center;sentinel
CPD;Capability Production Document;sentinel
CPFF;Cost Plus Fixed Fee;sentinel
CPI;Continuous Process Improvement;sentinel
CPI;Cost Performance Index;sentinel
CPI;Critical Program Information;sentinel
CPIF;Cost Plus Incentive Fee;sentinel
CPLM;Contractor Product Lifecycle Management (NG TC);sentinel
CPM;Capability Portfolio Management;sentinel
CPP;Centralized Parts Program;sentinel
CPR;Capability  Production Document;sentinel
CPSO;Contractor Program Security Officer;sentinel
CR;Change Request;sentinel
CR;Continuing Resolution;sentinel
CR;Cost Reimbursable;sentinel
CRA;Continuing Resolution Authority;sentinel
Crane;Naval Surface Warfare Center Crane, Indiana;sentinel
CRB;Cost Review Board;sentinel
CRM;Comment Resolution Matrix;sentinel
CRP;Certification Requirements Plan;sentinel
CRR;Congressional Reporting Requirements;sentinel
CRR;Customer Requirements Review;sentinel
CRS;Cost Reporting Structure;sentinel
CSA;Contractor Support Area;sentinel
CSAF;Chief of Staff, Air Force;sentinel
CSAM;See CSSAM;sentinel
CSB;Configuration Steering Board;sentinel
CSC;Computer Software Component;sentinel
CSCI;Computer Software Configuration Item;sentinel
CSD;Customer Service Desk;sentinel
CSDR;Cost & Software Data Reporting;sentinel
CSE;Common Support Equipment;sentinel
CSF;Center Senior Functional;sentinel
CSIL;C&L Systems Integration Lab;sentinel
CSP;Cloud Service Provider;sentinel
CSDR;Cost and Software Data Reporting;sentinel
CSRD;Computer System Requirements Document;sentinel
CSS;Cyber Security Strategy;sentinel
CSSAM;Computer System & Software Architecture Model;sentinel
CSSO;Contractor Special Security Officer;sentinel
CSU;Computer Software unit;sentinel
cSWE;Continuous Software Engineering;sentinel
CTE;Cable Termination Equipment;sentinel
CTE;Critical Technology Elements;sentinel
CTI;Controlled Technical Info;sentinel
CTMA;Commercial Technologies for Maintenance Activities;sentinel
CTP;Critical Technical Parameter;sentinel
CTR;Center;sentinel
CTR;Contractor;sentinel
CUI;Controlled Unclassified Information;sentinel
CV;Capability Viewpoint;sentinel
CVE;Common Vulnerabilities and Exposures;sentinel
CVR;Commercial Virtual Remote;sentinel
CVSS;Common Vulnerability Scoring System;sentinel
CWBS;Contract Work Breakdown Structure;sentinel
CWE;Common Weakness Enumeration;sentinel
CWSS;Common Weakness Scoring System;sentinel
D2K;Design to Kit;sentinel
DaaS;Data as a Service;sentinel
DAB;Defense Acquisition Board;sentinel
DAC;Design Analysis Cycle;sentinel
DAE;Defense Acquisition Executive;sentinel
DAES;Defense Acquisition Executive Summary;sentinel
DAF;Department of the Air Force;sentinel
DAG;Directors Action Group;sentinel
DAG;Defense Acquisition Guidebook Group;sentinel
DAL;Data Accession List;sentinel
DAL;Design Assurance Level (DO-178C level);sentinel
DAP;Defense Acquisition Portal;sentinel
DAR;Decision Analysis and Resolution (form);sentinel
DARPA;Defense Advanced Research Projects Agency;sentinel
DAS;Defense Acquisition System;sentinel
DASD(DT&E);Deputy Assistant Secretary of Defense (Developmental Test & Evaluation);sentinel
DASD(SE);Deputy Assistant Secretary of Defense (Systems Engineering);sentinel
DAU;Defense Acquisition University;sentinel
DBIDS;Defense Biometric Identification System (HAFB card, lower level than CAC);sentinel
DBS;Defense Business System;sentinel
DBSMC;Defense Business Systems Management Committee;sentinel
DCA;Direct Cite Authority;sentinel
DCAA;Defense Contract Audit Agency;sentinel
DCAPE;Director, Cost Assessment and Program Evaluation;sentinel
DCAR;DoD Centralized Artifacts Repository;sentinel
DCIM;Data Center Inventory Management;sentinel
DCF;Data Collection Form;sentinel
DCMA;Defense Contract Management Agency;sentinel
DCMAS;DCMA Special Programs;sentinel
DCMO;Deputy Chief Management Officer;sentinel
DCN;Document Control Number;sentinel
DCOR;Data Center Obligation Request;sentinel
DCPM;Division Chief Performance Monitor;sentinel
DCR;Design Certification Review;sentinel
DCSA;Defense Counter-Intelligence & Security Agency;sentinel
DD54;DoD Form 254 (what we can have access to);sentinel
DE;Digital Engineering;sentinel
DEE;Digital Engineering Environment (developed by NG GDIT);sentinel
DEM/VAL;Demonstration & Validation;sentinel
DEOCS;Defense Organizational Climate Survey;sentinel
DER;Designated Engineering Representative;sentinel
DES;Data Encryption Standard;sentinel
DES;Digital Engineering System (developed by NXE NXW NXZ);sentinel
DESRA;Digital Engineering System Requirements Architecture;sentinel
DevSecOps;Development, Security, and Operations;sentinel
DFARS;Defense Federal Acquisition Regulation Supplement;sentinel
DFMA;Design for Manufacturing and Assembly;sentinel
DFTV;Delta Flight Test Vehicle;sentinel
DI2E;Defense Intelligence Information Enterprise;sentinel
DIA;Defense Intelligence Agency;sentinel
DIACAP;DOD Information Assurance Certification and Accreditation Process;sentinel
DIAL;Data Item Approval Letter;sentinel
DID;Data Item Description;sentinel
DISA;Defense Information Systems Agency;sentinel
DISS;Defense Information Security System (new JPAS);sentinel
DIU;Defense Innovation Unit;sentinel
DM;Data Management;sentinel
DMA;Decision Making Authority;sentinel
DMAP;Depot Mainenance Activation Plan;sentinel
DMAWG;Depot Maintenance Activation Working Group;sentinel
DMO;Data Management Officer;sentinel
DMP;Data Management Plan;sentinel
DMS;Defense Message System;sentinel
DNG;DOORS Next Generation;sentinel
DNI;Director of National Intelligence;sentinel
DO;Data Object;sentinel
DoD;Department of Defense;sentinel
DoD;Due on Deck;sentinel
DoDAF;DoD Architecture Framework;sentinel
DoDD;DoD Directive;sentinel
DoDI;DoD Instruction;sentinel
DoDIN;DoD Information Network;sentinel
DoDM;DoD Defense Manual;sentinel
DOE;Department of Energy;sentinel
DoE;Director of Engineering;sentinel
DOF;Degrees of Freedom;sentinel
DOORS;Dynamic Object Oriented Requirements System (IBM);sentinel
DOT&E;Director, Operational Test and Evaluation;sentinel
DOTMLPF;Doctrine, Organization, Training, Materiel, Leadership and Education, Personnel and Facilities;sentinel
DP;Decision Point;sentinel
DPAS;Defense Property Accountability System;sentinel
DPMAP;DoD Performance Management Appraisal Program;sentinel
DR;Deficiency Report;sentinel
DRA;Deployment Requirements Analysis;sentinel
DRAT;Decision Resolution Action Tracker;sentinel
DREN;Defense Research & Engineering Network;sentinel
DRIP;Design Review Information Package;sentinel
DRM;"Digital Rights Management; songs & movies; as opposed to IRM";sentinel
DRM;Defense Resources Model;sentinel
DRP;Data Rights Plan;sentinel
DRRT;Data Requirements Review Team;sentinel
DSB;Defense Science Board;sentinel
DSO;DevSecOps;sentinel
DSOR;Depot Source of Repair (DMAWG);sentinel
DSPM;Deputy System Program Manager;sentinel
DSS;Data Simulation System;sentinel
DST;Digtial Systems Team (NG IPT);sentinel
DT;Development Test;sentinel
DTaaS;Data Transfer as a Service;sentinel
DT&E;Development, Test and Evaluation;sentinel
DTE&A;Development, Test, Evaluation and Assessments (office in OSD);sentinel
DTIC;Defense Technical Information Center;sentinel
DTRA;Defense Threat Reduction Agency;sentinel
DU;Desing Unit;sentinel
EA;Enterprise Architecture;sentinel
EAC;Estimate at Completion;sentinel
EAM;Emergency Action Message;sentinel
EAS;Enterprise Activation Suite;sentinel
EBR;EMD Baseline Review (mini PDR);sentinel
ECA;External Certification Authority;sentinel
ECAD;Electronic CAD;sentinel
ECCT;Enterprise Capability Collaboration Team;sentinel
ECO;Export Control Official;sentinel
ECP;Engineering Change Proposal;sentinel
ECP;Electronics Communication Plan;sentinel
ED;Engineering Directive;sentinel
EDU;Engineering Data Unit;sentinel
EDU;Execution Data Unit (router);sentinel
EEC;Entry & Exit Criteria;sentinel
EEU;Enhanced Engineering Unit (aka EU+);sentinel
EFTU;Environmental Flight Test Unit;sentinel
EGM;Earth Gravity Model;sentinel
EGT;Enhanced Ground Testing;sentinel
EIAP;Environmental Impact Analysis Process;sentinel
EIFTM;Enterprise Integrated Flight Test Matrix;sentinel
EIMS;Enterprise Integrated Master Schedule;sentinel
EIS;Environmental Impact Statement;sentinel
ELT;Executive Leadership Team;sentinel
EMD;Engineering and Manufacturing Development;sentinel
EMP;Electro-Magnetic Pulse;sentinel
EO ;Executive Order;sentinel
EOA;Early Operational Assessment;sentinel
EP;Execution Plan;sentinel
ePLM;Enterprise Product Lifecycle Management;sentinel
eQIP;Electronic Questionnaire for Investigating Processes;sentinel
ERB;Emerging Requirements Board;sentinel
ERM;Electronic Records Management;sentinel
ERP;Enterprise Resource Planning;sentinel
ESOH;Environment, Safety, and Occupational Health;sentinel
eSLOC;Effective Source Lines of Code;sentinel
eSSS;Electronic Staff Summary Sheet;sentinel
ETC;Estimate to Complete;sentinel
ETL;Extract Transform Load;sentinel
EU;Engineering Unit;sentinel
EVM(S);Earned Value Management (System);sentinel
EVMSIG;EVM System Interpretation Guide;sentinel
EWO;Emergency War Order;sentinel
FAR;Federal Acquisition Regulation;sentinel
FAR;Federal Aviation Regulations;sentinel
FAR;Failure Analysis Report;sentinel
FAR;False Alarm Report;sentinel
FBCE;Fully Burdened Cost of Energy;sentinel
FCA;Functional Configuration Audit;sentinel
FBU;Flight Battery Unit;sentinel
FCA;Functional Configuration Audit;sentinel
FCB;Functional Characteristic Board;sentinel
FDC;Force Development Concept;sentinel
FDCR;Final Design Certification Report;sentinel
FDDR;Full Deployment Decision Review;sentinel
FDE;Force Development Evaluation;sentinel
FDESRA;Force Development Evaluation System Requirements Analysis;sentinel
FFDR;First Flight Design Review;sentinel
FDM;Flight Data Management;sentinel
FDM;Force Direction Message (targeting);sentinel
FFBD;Functional Flow Block Diagram;sentinel
FFRDC;Federally Funded Research and Development Center;sentinel
FIPS;Federal Information Processing Standards;sentinel
FISAC;Future ICBM Sustainment and Acquisition Construct ;sentinel
FLSA;Fair Labor Standards Act;sentinel
FMEA;Failure Modes Effects Analysis;sentinel
FMECA;Failure Modes Effects Criticality Analysis;sentinel
FM/FZ;Financial Management (office symbol);sentinel
FOC;Full Operational Capability;sentinel
FOG;Fiber Optic Gyro;sentinel
FOIA;Freedom of Information Act;sentinel
FOL;Forward Operating Location;sentinel
FONSI;Finding of No Significant Impact;sentinel
FOSS;Free and Open Source Software;sentinel
FOT&E;Follow-On Test and Evaluation;sentinel
FOUO;For Official Use Only;sentinel
FPCON;Force Protection Condition;sentinel
FPGA;Field-Programmable Gate Array;sentinel
FPIF;Fixed Price Incentive (Firm Target);sentinel
FPR;Funds Program Review;sentinel
FPU;First Production Unit;sentinel
FRACAS;Failure Reporting, Analysis and Corrective Action System;sentinel
FRATAM;Functional Requirements Allocation Traceability Matrix;sentinel
FRD;Formerly Restricted Data;sentinel
FRP;Full Rate Production;sentinel
FS;Flight Systems;sentinel
FSO;Facility Security Officer;sentinel
FSDL;Full Size Holes at Detail Level;sentinel
FST;Flight Systems Team (NG IPT);sentinel
FSTS;Flight Software Test Set;sentinel
F&T;Facilities & Transportation (trucks);sentinel
FTA;Fault Tree Analysis;sentinel
FTE;Full-time employee;sentinel
FTSA;Flight Test Safety Approval;sentinel
FTU;Formal Training Unit;sentinel
FWAC;Fraud, Waste, Abuse & Corruption;sentinel
FY;Fiscal Year;sentinel
FYDP;Future Years Defense Program;sentinel
FYSA;For Your Situational Awareness;sentinel
GAP;Guidance Applications Program;sentinel
GATE;GBSD Alternate Transport and Emplacement;sentinel
GBSD;Ground Based Strategic Deterrent;sentinel
GCAM;Government Control Account Manager;sentinel
GDT;GBSD Digital Translator (vs MAT);sentinel
GEM;GBSD Enterprise Model;sentinel
GEMS;Generalized Energy Management Steering;sentinel
GENESIS;Guidance Error Navigation Evaluation Software of Instruments and Software;sentinel
GERB;GBSD Engineering Review Board;sentinel
GET;Government Enterprise Team;sentinel
GF;Government Furnished;sentinel
GFE;Government Furnished Equipment;sentinel
GFGI;Government Furnished Government Installed;sentinel
GFI;Government Furnished Information;sentinel
GFP;Government Furnished Property;sentinel
GFX;Government Furnished Equipment;sentinel
G&G;Gravity and Geodetics;sentinel
GIS;Geospatial Information & Services;sentinel
GLIDE;GBSD Lifecycle Integrated Data Environment;sentinel
GMAP;Government Mitigation Action Plan;sentinel
GMP;Guidance Modernization Program;sentinel
GNC;Guidance, Navigation, & Control;sentinel
GNT;GBSD NSCCA Team;sentinel
GO/FO;General Officer Flag Officer;sentinel
GOSG;General Office Steering Group (pronounced gossage);sentinel
GOTS;Government Off the Shelf;sentinel
GPAE;Government Prescribed Architecture Elements;sentinel
GPR;Government Purpose Rights;sentinel
GPT;Government Prime Team;sentinel
G/R;Giver Receiver;sentinel
GRA;Government Reference Architecture;sentinel
GR&A;Ground Rules & Assumptions;sentinel
GSB;GBSD Steering Board;sentinel
GSC;Global Strike Command;sentinel
GSC;Gloval Supply Chain;sentinel
GSC;Government Security Committee;sentinel
GSOC;Global Security Operation Center (BAE Policy 910 Email);sentinel
GSP;Gyro-Stabilized Platform;sentinel
GWSS;GBSD Weapons System Specification;sentinel
HAC;House Appropriations Committee;sentinel
HAC;Higher Authority Communications;sentinel
HAC/RMPE;HAC Rapid Message Processing;sentinel
HAF;Headquarters Air Force;sentinel
HAF;High Altitude Fuze;sentinel
HAFB;Hill Air Force Base;sentinel
HAFB;Hanscom Air Force Base;sentinel
HAMP;Higher Authority Message Processor;sentinel
HASC;House Arms Services Committee;sentinel
HEDC;Hill Enterprise Data Center (approves IT for NIPR SIPR);sentinel
HICS;Hardened Inter-site Cable System;sentinel
HIL;Hardware in the Loop;sentinel
HIL;Human-in-the-loop;sentinel
HMI;Human Machine Interface;sentinel
HOB;Height of Burst;sentinel
HOPPER;HICS Optimized Planner & Performance Evaluator;sentinel
HPE;Handling Plan Element;sentinel
HPT;High-Payoff Target;sentinel
HRG;Hemispherical Resonating Gyroscope;sentinel
HSCM;Hardware Software Compatibility Matrix;sentinel
HSI;Human System Integration;sentinel
HUM;Hardware Utilization Matrix;sentinel
HUMINT;Human Intelligence (telephone elicitation, face-to-face, eavesdropping);sentinel
HVT;High-Value Target;sentinel
HWCI;Hardware Configuration Item;sentinel
HWIL;Hardware-in-the-Loop;sentinel
IA;Information Assurance;sentinel
IAD;Integrated Air Defenses;sentinel
IADS;Infrastructure Analysis & Display Systems;sentinel
IAM;Information Assurance Manager;sentinel
IAO;Information Assurance Officer;sentinel
IAT;Information Assurance Technician;sentinel
IATC;Integration, Assembly, Test, & Checkout;sentinel
IATC;Interim Authority to Connect;sentinel
IATT;Interim Authority to Test;sentinel
IBR;Integrated Baseline Review;sentinel
IBR;Initial Budget Review;sentinel
ICBM;Intercontinental Ballistic Missile;sentinel
